time,queue,rtt,throughput,packet_rate,loss
2.28,141,0.077644,40.25,3201,6.2093
2.29,144,0.077732,38.94,3079,7.0669
2.3,144,0.077961,42.67,3537,6.9419
2.31,144,0.077938,39.33,3209,6.8658
2.32,146,0.076314,36.85,2890,6.9163
2.33,146,0.078213,39.17,3150,7.1378
2.34,146,0.078161,33.97,2790,7.1039
2.35,150,0.08143,37.22,2902,7.5806
2.36,145,0.078334,37.37,2993,7.0782
2.37,153,0.080902,36.76,2947,8.4356
2.38,149,0.07951,35.61,2785,7.6311
2.39,151,0.081423,34.05,2742,8.0074
2.4,150,0.079815,34.31,2800,7.5342
2.41,154,0.080902,35.93,2949,8.3088
2.42,150,0.079724,33.35,2655,7.5582
2.43,153,0.082141,38.98,3243,8.2564
2.44,158,0.083696,30.04,2300,9.1692
2.45,156,0.082444,34.58,2784,8.7309
2.46,156,0.082592,35.36,2758,8.4384
2.47,159,0.08304,36.1,2892,9.0273
2.48,150,0.079806,33.2,2629,7.7753
2.49,154,0.080937,37.28,3007,8.3016
2.5,153,0.080905,32.21,2570,8.3668
2.51,157,0.084146,33.88,2669,8.9573
2.52,156,0.081322,36.28,2864,8.7059
2.53,152,0.080111,37.16,3069,7.9867
2.54,150,0.078746,32.34,2609,7.6277
2.55,154,0.080129,40.51,3155,8.1529
2.56,151,0.080213,33.53,2709,7.8274
2.57,154,0.080982,32.81,2615,8.3066
2.58,151,0.082162,36.58,2926,7.9879
2.59,151,0.080117,35.03,2843,7.9791
2.6,152,0.082089,34.9,2851,7.8351
2.61,154,0.082568,37.27,2938,8.2976
2.62,152,0.080591,33.22,2656,7.8909
2.63,150,0.08211,33.09,2619,7.5784
2.64,148,0.079469,35.54,2873,7.6137
2.65,149,0.081113,39.14,3119,7.371
2.66,150,0.081397,36.14,2892,7.7096
2.67,145,0.078415,40.73,3244,6.8341
2.68,143,0.077951,40.23,3213,6.8897
2.69,141,0.077024,38.7,3181,6.4285
2.7,141,0.075256,39.14,3250,6.2657
2.71,146,0.078457,39.36,3167,7.1512
2.72,141,0.077474,39.47,3152,6.5157
2.73,138,0.076726,38.79,3023,6.1791
2.74,140,0.075279,39.4,3113,6.1102
2.75,140,0.076529,38.15,3045,6.4431
2.76,135,0.074151,36.27,2865,5.7172
2.77,133,0.073082,43.31,3434,5.4082
2.78,136,0.074756,41.85,3426,5.7177
2.79,131,0.072618,41.98,3359,4.9649
2.8,130,0.072541,43.21,3462,4.7016
2.81,129,0.073042,41.21,3263,4.7262
2.82,129,0.072384,41.33,3365,4.6156
2.83,122,0.069111,43.24,3448,3.6387
2.84,120,0.069865,47.03,3736,3.2142
2.85,124,0.07071,42.44,3316,3.9657
2.86,120,0.067908,40.02,3198,3.4122
2.87,118,0.065983,44.74,3551,2.7732
2.88,116,0.065412,48.57,3969,2.8165
2.89,113,0.066133,43.34,3559,2.2201
2.9,116,0.06577,44.96,3535,2.8223
2.91,114,0.064592,48.38,3814,2.3157
2.92,106,0.061642,53.52,4267,1.0895
2.93,105,0.061313,46.19,3654,1.2075
2.94,105,0.062851,46.65,3742,0.8756
2.95,106,0.062243,50.66,4036,1.3221
2.96,102,0.059428,52.94,4249,0.542
2.97,102,0.060831,49.82,4036,0.557
2.98,102,0.061022,48.37,3816,0.4542
2.99,99,0.059121,53.03,4292,0.1365
3.0,95,0.059156,53.94,4278,0.0
3.01,91,0.055979,56.81,4652,0.0
3.02,88,0.056308,55.11,4489,0.0
3.03,92,0.057397,56.0,4474,0.0
3.04,87,0.055727,54.36,4300,0.0
3.05,82,0.051701,60.31,4767,0.0
3.06,86,0.054498,55.17,4457,0.0
3.07,83,0.053147,55.28,4420,0.0
3.08,84,0.052178,60.66,4899,0.0
3.09,79,0.052705,54.62,4479,0.0
3.1,77,0.049983,54.4,4313,0.0
3.11,81,0.05179,58.86,4647,0.0
3.12,76,0.049387,59.14,4740,0.0
3.13,71,0.049101,59.2,4793,0.0
3.14,74,0.048074,62.15,4924,0.0
3.15,69,0.048218,58.85,4709,0.0
3.16,67,0.047845,61.3,4972,0.0
3.17,66,0.046937,60.94,4793,0.0
3.18,61,0.045113,60.37,4841,0.0
3.19,60,0.04476,62.51,4973,0.0
3.2,60,0.043051,64.82,5191,0.0
3.21,63,0.046635,67.82,5461,0.0
3.22,53,0.04074,65.2,5227,0.0
3.23,56,0.042334,59.48,4707,0.0
3.24,55,0.041667,64.87,5164,0.0
3.25,53,0.041692,65.49,5310,0.0
3.26,52,0.040262,67.7,5432,0.0
3.27,49,0.039667,66.62,5371,0.0
3.28,53,0.039965,69.18,5546,0.0
3.29,49,0.040765,67.87,5470,0.0
3.3,43,0.037871,70.61,5628,0.0
3.31,46,0.038108,67.01,5322,0.0
3.32,45,0.037531,68.56,5522,0.0
3.33,43,0.037845,70.31,5681,0.0
3.34,41,0.035693,67.88,5384,0.0
3.35,37,0.034925,67.81,5396,0.0
3.36,39,0.036761,68.49,5471,0.0
3.37,36,0.033589,68.6,5568,0.0
3.38,34,0.033969,71.48,5746,0.0
3.39,33,0.033516,67.1,5301,0.0
3.4,35,0.033903,67.98,5433,0.0
3.41,34,0.033096,75.14,5998,0.0
3.42,31,0.033615,70.27,5562,0.0
3.43,31,0.031802,72.42,5788,0.0
3.44,30,0.030188,69.34,5532,0.0
3.45,31,0.033041,72.79,5805,0.0
3.46,28,0.029999,71.44,5694,0.0
3.47,25,0.030692,70.02,5675,0.0
3.48,25,0.031335,76.08,6068,0.0
3.49,28,0.03183,76.03,6084,0.0
3.5,25,0.031071,73.7,5893,0.0
3.51,26,0.03242,76.15,6066,0.0
3.52,26,0.031367,78.19,6259,0.0
3.53,24,0.029931,76.12,6092,0.0
3.54,22,0.030434,75.79,6067,0.0
3.55,24,0.031355,75.44,5992,0.0
3.56,19,0.029369,76.54,6112,0.0
3.57,21,0.027908,74.71,6014,0.0
3.58,22,0.027446,75.08,5997,0.0
3.59,19,0.027047,76.72,6145,0.0
3.6,16,0.027104,75.05,6012,0.0
3.61,20,0.028159,75.44,6056,0.0
3.62,16,0.026194,76.34,6135,0.0
3.63,18,0.02776,78.8,6295,0.0
3.64,13,0.023729,74.39,5905,0.0
3.65,20,0.028141,78.32,6204,0.0
3.66,16,0.027518,78.53,6333,0.0
3.67,13,0.025749,78.66,6331,0.0
3.68,14,0.026292,75.61,6081,0.0
3.69,14,0.027197,73.96,5957,0.0
3.7,12,0.024734,78.59,6279,0.0
3.71,13,0.024547,77.97,6206,0.0
3.72,13,0.02639,79.72,6328,0.0
3.73,10,0.025171,76.42,6059,0.0
3.74,13,0.025758,79.44,6415,0.0
3.75,13,0.02504,80.13,6385,0.0
3.76,14,0.025601,77.93,6287,0.0
3.77,9,0.022323,79.05,6314,0.0
3.78,12,0.025913,79.07,6291,0.0
3.79,8,0.024278,76.74,6084,0.0
3.8,9,0.022288,79.53,6332,0.0
3.81,8,0.024068,81.79,6614,0.0
3.82,4,0.022004,78.66,6238,0.0
3.83,5,0.020978,75.77,6167,0.0
3.84,5,0.020794,77.39,6149,0.0
3.85,10,0.024373,75.27,6059,0.0
3.86,8,0.022802,81.47,6510,0.0
3.87,8,0.02502,80.47,6421,0.0
3.88,11,0.025353,78.0,6176,0.0
3.89,6,0.022874,76.22,6092,0.0
3.9,7,0.023323,77.44,6137,0.0
3.91,5,0.023331,77.88,6146,0.0
3.92,7,0.023647,79.42,6359,0.0
3.93,3,0.0217,79.4,6320,0.0
3.94,9,0.02262,81.97,6641,0.0
3.95,4,0.024662,77.94,6285,0.0
3.96,6,0.021297,76.35,6192,0.0
3.97,7,0.022487,77.09,6133,0.0
3.98,8,0.021545,79.39,6358,0.0
3.99,10,0.024539,78.01,6109,0.0
4.0,5,0.022151,78.92,6299,0.0
4.01,2,0.021565,78.62,6294,0.0
4.02,5,0.020261,81.54,6530,0.0
4.03,7,0.023913,78.41,6270,0.0
4.04,4,0.020793,78.85,6311,0.0
4.05,5,0.021851,81.07,6349,0.0
4.06,3,0.022132,78.52,6294,0.0
4.07,7,0.023061,80.52,6465,0.0
4.08,9,0.023932,80.36,6495,0.0
4.09,7,0.023599,80.0,6418,0.0
4.1,2,0.021229,77.46,6190,0.0
4.11,6,0.022059,82.21,6632,0.0
4.12,9,0.023434,84.2,6618,0.0
4.13,3,0.021412,79.8,6358,0.0
4.14,8,0.022304,77.7,6177,0.0
4.15,7,0.023796,79.86,6387,0.0
4.16,6,0.022689,81.8,6434,0.0
4.17,10,0.024075,78.6,6353,0.0
4.18,5,0.023192,79.58,6353,0.0
4.19,5,0.02188,80.53,6458,0.0
4.2,5,0.021818,82.27,6592,0.0
4.21,5,0.021515,81.42,6576,0.0
4.22,4,0.021943,81.51,6427,0.0
4.23,10,0.024308,79.03,6328,0.0
4.24,3,0.020534,80.7,6513,0.0
4.25,2,0.020622,78.46,6271,0.0
4.26,6,0.02174,81.6,6480,0.0
4.27,4,0.020895,82.22,6547,0.0
4.28,4,0.02,81.03,6462,0.0
4.29,8,0.022969,79.19,6299,0.0
4.3,5,0.020298,79.52,6353,0.0
4.31,4,0.021137,83.55,6759,0.0
4.32,7,0.022187,79.24,6309,0.0
4.33,4,0.022652,82.04,6538,0.0
4.34,2,0.02,80.63,6473,0.0
4.35,2,0.020039,79.28,6333,0.0
4.36,3,0.020818,77.27,6115,0.0
4.37,3,0.02062,80.38,6427,0.0
4.38,8,0.024569,80.14,6406,0.0
4.39,6,0.021261,83.58,6735,0.0
4.4,0,0.02,78.25,6211,0.0
4.41,8,0.023532,84.56,6813,0.0
4.42,5,0.022881,80.73,6453,0.0
4.43,4,0.02122,80.73,6403,0.0
4.44,5,0.020082,78.79,6237,0.0
4.45,7,0.02265,80.61,6545,0.0
4.46,6,0.023752,80.93,6466,0.0
4.47,3,0.021482,81.86,6595,0.0
4.48,4,0.021836,78.03,6156,0.0
4.49,2,0.02,82.8,6755,0.0
4.5,4,0.020434,80.71,6501,0.0
4.51,1,0.020418,81.2,6483,0.0
4.52,9,0.022174,79.55,6348,0.0
4.53,3,0.021981,78.13,6287,0.0
4.54,1,0.02,80.13,6444,0.0
4.55,5,0.021975,80.36,6437,0.0
4.56,4,0.02,77.22,6178,0.0
4.57,6,0.022006,81.58,6554,0.0
4.58,5,0.020814,81.99,6472,0.0
4.59,8,0.020878,78.53,6263,0.0
4.6,5,0.022542,77.95,6153,0.0
4.61,7,0.024441,79.39,6381,0.0
4.62,4,0.022729,80.04,6369,0.0
4.63,1,0.021082,79.47,6279,0.0
4.64,5,0.021586,79.87,6349,0.0
4.65,4,0.022406,80.44,6442,0.0
4.66,3,0.022424,77.26,6170,0.0
4.67,2,0.020937,77.49,6140,0.0
4.68,12,0.023616,74.55,5878,0.0
4.69,5,0.021501,81.88,6554,0.0
4.7,10,0.025703,80.03,6373,0.0
4.71,6,0.022325,82.09,6554,0.0
4.72,1,0.02,77.72,6209,0.0
4.73,6,0.020931,80.05,6425,0.0
4.74,2,0.020376,80.43,6476,0.0
4.75,4,0.022636,78.87,6316,0.0
4.76,5,0.021727,76.89,6135,0.0
4.77,8,0.024254,83.49,6680,0.0
4.78,4,0.021074,82.8,6607,0.0
4.79,2,0.02,79.23,6256,0.0
4.8,1,0.02,81.02,6536,0.0
4.81,8,0.023545,79.03,6367,0.0
4.82,8,0.023462,78.01,6340,0.0
4.83,4,0.020345,83.65,6806,0.0
4.84,1,0.020049,76.69,6076,0.0
4.85,9,0.026285,79.43,6337,0.0
4.86,4,0.020367,80.17,6539,0.0
4.87,2,0.021461,83.3,6661,0.0
4.88,4,0.02,81.79,6555,0.0
4.89,3,0.022064,76.66,6056,0.0
4.9,8,0.022308,79.99,6406,0.0
4.91,9,0.024002,80.04,6499,0.0
4.92,4,0.020308,79.54,6427,0.0
4.93,4,0.021891,81.24,6468,0.0
4.94,5,0.021091,77.18,6154,0.0
4.95,11,0.023685,79.18,6277,0.0
4.96,8,0.023642,80.96,6434,0.0
4.97,6,0.02197,81.36,6413,0.0
4.98,2,0.02118,80.3,6419,0.0
4.99,8,0.023009,79.42,6429,0.0
