time,queue_bytes,queue_packets,queue_capacity_bytes,queue_delay_ms,arrival_rate_mbps,departure_rate_mbps,throughput_mbps,rtt_ms,packet_loss,packet_drop_rate,dropped_packets,drop_reason
6.1,42000.0,28,52500,33.6,11.884,9.875,9.875,53.6,0,0.0,0,None
6.2,39000.0,26,52500,31.2,5.844,9.552,5.844,51.2,0,0.0,0,None
6.3,40500.0,27,52500,32.4,11.906,9.753,9.753,52.4,0,0.0,0,None
6.4,51000.0,34,52500,40.8,11.951,9.66,9.66,60.8,0,0.0,0,None
6.5,52500.0,35,52500,42.0,11.728,9.695,9.695,62.0,1,0.0101,1,QueueOverflow
6.6,49500.0,33,52500,39.6,7.859,9.924,7.859,59.6,0,0.0,0,None
6.7,52500.0,35,52500,42.0,14.008,9.978,9.978,62.0,1,0.0331,4,QueueOverflow
6.8,51000.0,34,52500,40.8,6.891,9.787,6.891,60.8,0,0.0,0,None
6.9,45000.0,30,52500,36.0,7.844,9.724,7.844,56.0,0,0.0,0,None
7.0,48000.0,32,52500,38.4,11.509,9.664,9.664,58.4,0,0.0,0,None
7.1,51000.0,34,52500,40.8,11.959,9.876,9.876,60.8,0,0.0,0,None
7.2,40500.0,27,52500,32.4,8.621,9.895,8.621,52.4,0,0.0,0,None
7.3,43500.0,29,52500,34.8,10.362,9.747,9.747,54.8,0,0.0,0,None
7.4,21000.0,14,52500,16.8,7.45,9.775,7.45,36.8,0,0.0,0,None
7.5,31500.0,21,52500,25.2,11.146,9.944,9.944,45.2,0,0.0,0,None
7.6,22500.0,15,52500,18.0,8.13,9.559,8.13,38.0,0,0.0,0,None
7.7,16500.0,11,52500,13.2,7.026,9.881,7.026,33.2,0,0.0,0,None
7.8,13500.0,9,52500,10.8,8.299,9.551,8.299,30.8,0,0.0,0,None
7.9,0.0,0,52500,0.0,5.586,6.804,5.586,20.0,0,0.0,0,None
8.0,4500.0,3,52500,3.6,11.823,9.911,9.911,23.6,0,0.0,0,None
8.1,4500.0,3,52500,3.6,9.292,9.541,9.292,23.6,0,0.0,0,None
8.2,9000.0,6,52500,7.2,11.242,9.993,9.993,27.2,0,0.0,0,None
8.3,0.0,0,52500,0.0,2.045,5.483,2.045,20.0,0,0.0,0,None
8.4,0.0,0,52500,0.0,8.081,7.789,7.789,20.0,0,0.0,0,None
8.5,0.0,0,52500,0.0,6.94,7.014,6.94,20.0,0,0.0,0,None
8.6,7500.0,5,52500,6.0,11.596,9.542,9.542,26.0,0,0.0,0,None
8.7,7500.0,5,52500,6.0,9.734,9.779,9.734,26.0,0,0.0,0,None
8.8,6000.0,4,52500,4.8,8.619,9.953,8.619,24.8,0,0.0,0,None
8.9,12000.0,8,52500,9.6,10.269,9.746,9.746,29.6,0,0.0,0,None
9.0,13500.0,9,52500,10.8,10.347,9.734,9.734,30.8,0,0.0,0,None
9.1,19500.0,13,52500,15.6,10.294,9.559,9.559,35.6,0,0.0,0,None
9.2,13500.0,9,52500,10.8,6.587,9.825,6.587,30.8,0,0.0,0,None
9.3,16500.0,11,52500,13.2,12.216,9.792,9.792,33.2,0,0.0,0,None
9.4,16500.0,11,52500,13.2,9.558,9.687,9.558,33.2,0,0.0,0,None
9.5,13500.0,9,52500,10.8,8.263,9.934,8.263,30.8,0,0.0,0,None
9.6,21000.0,14,52500,16.8,10.506,9.982,9.982,36.8,0,0.0,0,None
9.7,22500.0,15,52500,18.0,10.571,9.985,9.985,38.0,0,0.0,0,None
9.8,21000.0,14,52500,16.8,7.363,9.946,7.363,36.8,0,0.0,0,None
9.9,21000.0,14,52500,16.8,9.74,9.996,9.74,36.8,0,0.0,0,None
10.0,16500.0,11,52500,13.2,5.869,9.777,5.869,33.2,0,0.0,0,None
10.1,22500.0,15,52500,18.0,11.521,9.762,9.762,38.0,0,0.0,0,None
10.2,25500.0,17,52500,20.4,11.257,9.848,9.848,40.4,0,0.0,0,None
10.3,25500.0,17,52500,20.4,9.865,9.814,9.814,40.4,0,0.0,0,None
10.4,31500.0,21,52500,25.2,10.542,9.951,9.951,45.2,0,0.0,0,None
10.5,37500.0,25,52500,30.0,12.041,9.64,9.64,50.0,0,0.0,0,None
10.6,48000.0,32,52500,38.4,11.356,9.945,9.945,58.4,0,0.0,0,None
10.7,43500.0,29,52500,34.8,7.978,9.81,7.978,54.8,0,0.0,0,None
10.8,48000.0,32,52500,38.4,11.021,9.594,9.594,58.4,0,0.0,0,None
10.9,49500.0,33,52500,39.6,11.344,9.677,9.677,59.6,0,0.0,0,None
11.0,43500.0,29,52500,34.8,5.616,9.539,5.616,54.8,0,0.0,0,None
11.1,52500.0,35,52500,42.0,14.087,9.993,9.993,62.0,1,0.0084,1,QueueOverflow
11.2,52500.0,35,52500,42.0,12.874,9.64,9.64,62.0,1,0.0445,5,QueueOverflow
11.3,52500.0,35,52500,42.0,12.33,9.842,9.842,62.0,1,0.0284,3,QueueOverflow
11.4,52500.0,35,52500,42.0,14.76,9.911,9.911,62.0,1,0.0391,5,QueueOverflow
11.5,52500.0,35,52500,42.0,13.062,9.807,9.807,62.0,1,0.018,2,QueueOverflow
11.6,52500.0,35,52500,42.0,12.271,9.776,9.776,62.0,1,0.0097,1,QueueOverflow
11.7,43500.0,29,52500,34.8,7.448,9.889,7.448,54.8,0,0.0,0,None
11.8,51000.0,34,52500,40.8,11.246,9.993,9.993,60.8,0,0.0,0,None
11.9,45000.0,30,52500,36.0,7.696,9.875,7.696,56.0,0,0.0,0,None
12.0,40500.0,27,52500,32.4,7.208,9.915,7.208,52.4,0,0.0,0,None
12.1,28500.0,19,52500,22.8,8.422,9.532,8.422,42.8,0,0.0,0,None
12.2,34500.0,23,52500,27.6,10.094,9.567,9.567,47.6,0,0.0,0,None
12.3,18000.0,12,52500,14.4,6.463,9.538,6.463,34.4,0,0.0,0,None
12.4,24000.0,16,52500,19.2,11.767,9.767,9.767,39.2,0,0.0,0,None
12.5,27000.0,18,52500,21.6,11.627,9.957,9.957,41.6,0,0.0,0,None
12.6,12000.0,8,52500,9.6,6.592,9.863,6.592,29.6,0,0.0,0,None
12.7,12000.0,8,52500,9.6,9.534,9.689,9.534,29.6,0,0.0,0,None
12.8,13500.0,9,52500,10.8,10.606,9.603,9.603,30.8,0,0.0,0,None
12.9,10500.0,7,52500,8.4,8.015,9.637,8.015,28.4,0,0.0,0,None
13.0,6000.0,4,52500,4.8,6.668,9.939,6.668,24.8,0,0.0,0,None
13.1,13500.0,9,52500,10.8,10.56,9.523,9.523,30.8,0,0.0,0,None
13.2,9000.0,6,52500,7.2,7.017,9.511,7.017,27.2,0,0.0,0,None
13.3,15000.0,10,52500,12.0,11.901,9.738,9.738,32.0,0,0.0,0,None
13.4,9000.0,6,52500,7.2,6.205,9.654,6.205,27.2,0,0.0,0,None
13.5,19500.0,13,52500,15.6,10.661,9.984,9.984,35.6,0,0.0,0,None
13.6,9000.0,6,52500,7.2,7.126,9.896,7.126,27.2,0,0.0,0,None
13.7,9000.0,6,52500,7.2,9.692,9.74,9.692,27.2,0,0.0,0,None
13.8,13500.0,9,52500,10.8,11.671,9.892,9.892,30.8,0,0.0,0,None
13.9,3000.0,2,52500,2.4,6.194,9.903,6.194,22.4,0,0.0,0,None
14.0,9000.0,6,52500,7.2,12.27,9.809,9.809,27.2,0,0.0,0,None
14.1,12000.0,8,52500,9.6,11.577,9.804,9.804,29.6,0,0.0,0,None
14.2,0.0,0,52500,0.0,4.946,6.219,4.946,20.0,0,0.0,0,None
14.3,7500.0,5,52500,6.0,11.458,9.863,9.863,26.0,0,0.0,0,None
14.4,7500.0,5,52500,6.0,9.971,9.725,9.725,26.0,0,0.0,0,None
14.5,12000.0,8,52500,9.6,11.196,9.649,9.649,29.6,0,0.0,0,None
14.6,4500.0,3,52500,3.6,6.46,9.849,6.46,23.6,0,0.0,0,None
14.7,7500.0,5,52500,6.0,11.914,9.73,9.73,26.0,0,0.0,0,None
14.8,19500.0,13,52500,15.6,10.516,9.884,9.884,35.6,0,0.0,0,None
14.9,22500.0,15,52500,18.0,11.265,9.523,9.523,38.0,0,0.0,0,None
15.0,27000.0,18,52500,21.6,10.592,9.674,9.674,41.6,0,0.0,0,None
15.1,33000.0,22,52500,26.4,10.973,9.79,9.79,46.4,0,0.0,0,None
15.2,33000.0,22,52500,26.4,9.745,9.769,9.745,46.4,0,0.0,0,None
15.3,42000.0,28,52500,33.6,11.093,9.792,9.792,53.6,0,0.0,0,None
15.4,46500.0,31,52500,37.2,10.709,9.849,9.849,57.2,0,0.0,0,None
15.5,45000.0,30,52500,36.0,7.613,9.848,7.613,56.0,0,0.0,0,None
15.6,52500.0,35,52500,42.0,13.483,9.937,9.937,62.0,1,0.0175,2,QueueOverflow
15.7,52500.0,35,52500,42.0,12.473,9.801,9.801,62.0,1,0.0459,5,QueueOverflow
15.8,49500.0,33,52500,39.6,7.748,9.584,7.748,59.6,0,0.0,0,None
15.9,52500.0,35,52500,42.0,11.855,9.589,9.589,62.0,1,0.01,1,QueueOverflow
16.0,49500.0,33,52500,39.6,7.699,9.767,7.699,59.6,0,0.0,0,None
16.1,52500.0,35,52500,42.0,12.333,9.947,9.947,62.0,1,0.0191,2,QueueOverflow
16.2,52500.0,35,52500,42.0,11.963,9.845,9.845,62.0,1,0.0099,1,QueueOverflow
16.3,43500.0,29,52500,34.8,6.678,9.741,6.678,54.8,0,0.0,0,None
16.4,49500.0,33,52500,39.6,10.57,9.756,9.756,59.6,0,0.0,0,None
16.5,43500.0,29,52500,34.8,8.681,9.689,8.681,54.8,0,0.0,0,None
16.6,43500.0,29,52500,34.8,9.685,9.934,9.685,54.8,0,0.0,0,None
16.7,46500.0,31,52500,37.2,12.272,9.799,9.799,57.2,0,0.0,0,None
16.8,34500.0,23,52500,27.6,5.996,9.768,5.996,47.6,0,0.0,0,None
16.9,30000.0,20,52500,24.0,6.338,9.618,6.338,44.0,0,0.0,0,None
17.0,28500.0,19,52500,22.8,6.604,9.766,6.604,42.8,0,0.0,0,None
17.1,28500.0,19,52500,22.8,9.32,9.531,9.32,42.8,0,0.0,0,None
17.2,30000.0,20,52500,24.0,11.441,9.567,9.567,44.0,0,0.0,0,None
17.3,31500.0,21,52500,25.2,11.921,9.922,9.922,45.2,0,0.0,0,None
17.4,30000.0,20,52500,24.0,5.913,9.515,5.913,44.0,0,0.0,0,None
17.5,33000.0,22,52500,26.4,10.971,9.677,9.677,46.4,0,0.0,0,None
17.6,27000.0,18,52500,21.6,6.34,9.552,6.34,41.6,0,0.0,0,None
17.7,33000.0,22,52500,26.4,11.219,9.591,9.591,46.4,0,0.0,0,None
17.8,22500.0,15,52500,18.0,8.652,9.92,8.652,38.0,0,0.0,0,None
17.9,33000.0,22,52500,26.4,10.734,9.768,9.768,46.4,0,0.0,0,None
18.0,21000.0,14,52500,16.8,7.249,9.671,7.249,36.8,0,0.0,0,None
18.1,12000.0,8,52500,9.6,6.732,9.678,6.732,29.6,0,0.0,0,None
18.2,7500.0,5,52500,6.0,6.987,9.74,6.987,26.0,0,0.0,0,None
18.3,10500.0,7,52500,8.4,11.483,9.868,9.868,28.4,0,0.0,0,None
18.4,4500.0,3,52500,3.6,7.1,9.793,7.1,23.6,0,0.0,0,None
18.5,6000.0,4,52500,4.8,10.864,9.689,9.689,24.8,0,0.0,0,None
18.6,3000.0,2,52500,2.4,7.127,9.95,7.127,22.4,0,0.0,0,None
18.7,0.0,0,52500,0.0,2.482,4.977,2.482,20.0,0,0.0,0,None
18.8,0.0,0,52500,0.0,5.581,5.321,5.321,20.0,0,0.0,0,None
18.9,0.0,0,52500,0.0,3.865,4.03,3.865,20.0,0,0.0,0,None
19.0,0.0,0,52500,0.0,5.454,5.461,5.454,20.0,0,0.0,0,None
19.1,4500.0,3,52500,3.6,10.601,9.925,9.925,23.6,0,0.0,0,None
19.2,6000.0,4,52500,4.8,10.514,9.903,9.903,24.8,0,0.0,0,None
19.3,3000.0,2,52500,2.4,8.766,9.921,8.766,22.4,0,0.0,0,None
19.4,13500.0,9,52500,10.8,11.403,9.509,9.509,30.8,0,0.0,0,None
19.5,18000.0,12,52500,14.4,12.292,9.999,9.999,34.4,0,0.0,0,None
19.6,18000.0,12,52500,14.4,10.038,9.788,9.788,34.4,0,0.0,0,None
19.7,27000.0,18,52500,21.6,11.953,9.503,9.503,41.6,0,0.0,0,None
19.8,30000.0,20,52500,24.0,11.691,9.745,9.745,44.0,0,0.0,0,None
19.9,28500.0,19,52500,22.8,6.755,9.91,6.755,42.8,0,0.0,0,None
